range,count,take
"$148,001 - $149,000",3450.00,512.50
"$149,001 - $150,000",4320.00,646.50
"$150,001 - $151,000",4030.00,606.70
"$151,001 - $152,000",3320.00,503.60
"$152,001 - $153,000",3360.00,512.00
"$153,001 - $154,000",3110.00,477.90
"$154,001 - $155,000",3220.00,498.10
"$155,001 - $156,000",3350.00,520.10
"$156,001 - $157,000",2980.00,466.50
"$157,001 - $158,000",2930.00,461.20
"$158,001 - $159,000",2820.00,446.80
"$159,001 - $160,000",2970.00,474.40
"$160,001 - $161,000",3000.00,481.60
"$161,001 - $162,000",2760.00,446.20
"$162,001 - $163,000",2610.00,423.60
"$163,001 - $164,000",2520.00,411.90
"$164,001 - $165,000",2470.00,405.90
"$165,001 - $166,000",2500.00,414.20
"$166,001 - $167,000",2310.00,384.80
"$167,001 - $168,000",2200.00,368.90
"$168,001 - $169,000",2200.00,371.00
"$169,001 - $170,000",2290.00,388.40
"$170,001 - $171,000",2260.00,385.20
"$171,001 - $172,000",2060.00,352.40
"$172,001 - $173,000",1950.00,335.90
"$173,001 - $174,000",2000.00,346.80
"$174,001 - $175,000",2000.00,349.60
"$175,001 - $176,000",1940.00,340.70
"$176,001 - $177,000",1830.00,322.50
"$177,001 - $178,000",1920.00,340.80
"$178,001 - $179,000",1740.00,310.20
"$179,001 - $180,000",2120.00,380.30
"$180,001 - $181,000",2250.00,405.90
"$181,001 - $182,000",1600.00,290.00
"$182,001 - $183,000",1550.00,283.30
"$183,001 - $184,000",1590.00,291.00
"$184,001 - $185,000",1560.00,288.60
"$185,001 - $186,000",1550.00,287.50
"$186,001 - $187,000",1370.00,256.10
"$187,001 - $188,000",1430.00,267.90
"$188,001 - $189,000",1350.00,253.90
"$189,001 - $190,000",1400.00,264.40
"$190,001 - $191,000",1410.00,268.60
"$191,001 - $192,000",1280.00,244.70
"$192,001 - $193,000",1240.00,238.90
"$193,001 - $194,000",1160.00,224.90
"$194,001 - $195,000",1280.00,248.60
"$195,001 - $196,000",1060.00,206.60
"$196,001 - $197,000",1140.00,223.40
"$197,001 - $198,000",1120.00,221.40
"$198,001 - $199,000",1040.00,207.00
"$199,001 - $200,000",1340.00,267.30
"$200,001 - $205,000",5440.00,1100.50
"$205,001 - $210,000",4650.00,964.70
"$210,001 - $215,000",4060.00,862.90
"$215,001 - $220,000",3670.00,798.10
"$220,001 - $225,000",3450.00,766.20
"$225,001 - $230,000",3220.00,733.10
"$230,001 - $235,000",2910.00,675.20
"$235,001 - $240,000",2620.00,621.20
"$240,001 - $245,000",2430.00,588.60
"$245,001 - $250,000",2330.00,577.40
"$250,001 - $255,000",2050.00,518.10
"$255,001 - $260,000",1850.00,477.30
"$260,001 - $265,000",1760.00,461.60
"$265,001 - $270,000",1610.00,430.30
"$270,001 - $275,000",1410.00,383.30
"$275,001 - $280,000",1380.00,382.10
"$280,001 - $285,000",1330.00,376.60
"$285,001 - $290,000",1180.00,340.40
"$290,001 - $295,000",1070.00,312.70
"$295,001 - $300,000",1080.00,321.20
"$300,001 - $350,000",7460.00,2406.70
"$350,001 - $400,000",4400.00,1639.20
"$400,001 - $450,000",2740.00,1156.80
"$450,001 - $500,000",1750.00,827.60
"$500,001 - $550,000",1130.00,593.60
